gen,eval,o3d_fitness_mean,o3d_fitness_max,o3d_rmse_mean,o3d_rmse_min,o3d_mae_mean,o3d_mae_min
0,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
1,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
2,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
3,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
4,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
5,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
6,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
7,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
8,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
9,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
10,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
11,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
12,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
13,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
14,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
15,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
16,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
17,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
18,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
19,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
20,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
21,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
22,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
23,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
24,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
25,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
26,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
27,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
28,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
29,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
30,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
31,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
32,30,0.0,0.0,10000.0,10000.0,10000.0,10000.0
33,30,0.002,0.055,9666.741,2.229,9667.285,18.564
34,30,0.002,0.055,9666.741,2.229,9667.285,18.564
35,30,0.002,0.055,9666.741,2.229,9667.285,18.564
36,30,0.002,0.055,9666.741,2.229,9667.285,18.564
37,30,0.002,0.055,9666.741,2.229,9667.285,18.564
38,30,0.002,0.055,9666.741,2.229,9667.285,18.564
39,30,0.002,0.055,9666.741,2.229,9667.285,18.564
40,30,0.002,0.055,9666.741,2.229,9667.285,18.564
41,30,0.002,0.055,9666.741,2.229,9667.285,18.564
42,30,0.002,0.055,9666.741,2.229,9667.285,18.564
43,30,0.002,0.055,9666.741,2.229,9667.285,18.564
44,30,0.002,0.055,9666.741,2.229,9667.285,18.564
45,30,0.002,0.055,9666.741,2.229,9667.285,18.564
46,30,0.002,0.055,9666.741,2.229,9667.285,18.564
47,30,0.002,0.055,9666.741,2.229,9667.285,18.564
48,30,0.002,0.055,9666.741,2.229,9667.285,18.564
49,30,0.002,0.055,9666.741,2.229,9667.285,18.564
50,30,0.002,0.055,9666.741,2.229,9667.285,18.564
51,30,0.002,0.055,9666.741,2.229,9667.285,18.564
52,30,0.002,0.055,9666.741,2.229,9667.285,18.564
53,30,0.002,0.055,9666.741,2.229,9667.285,18.564
54,30,0.002,0.055,9666.741,2.229,9667.285,18.564
55,30,0.002,0.055,9666.741,2.229,9667.285,18.564
56,30,0.002,0.055,9666.741,2.229,9667.285,18.564
57,30,0.002,0.055,9666.741,2.229,9667.285,18.564
58,30,0.002,0.055,9666.741,2.229,9667.285,18.564
59,30,0.002,0.055,9666.741,2.229,9667.285,18.564
60,30,0.002,0.055,9666.741,2.229,9667.285,18.564
61,30,0.002,0.055,9666.741,2.229,9667.285,18.564
62,30,0.002,0.055,9666.741,2.229,9667.285,18.564
63,30,0.002,0.055,9666.741,2.229,9667.285,18.564
64,30,0.002,0.055,9666.741,2.229,9667.285,18.564
65,30,0.002,0.055,9666.741,2.229,9667.285,18.564
66,30,0.002,0.055,9666.741,2.229,9667.285,18.564
67,30,0.002,0.055,9666.741,2.229,9667.285,18.564
68,30,0.002,0.055,9666.741,2.229,9667.285,18.564
69,30,0.002,0.055,9666.741,2.229,9667.285,18.564
70,30,0.002,0.055,9666.741,2.229,9667.285,18.564
71,30,0.002,0.055,9666.741,2.229,9667.285,18.564
72,30,0.002,0.055,9666.741,2.229,9667.285,18.564
73,30,0.002,0.055,9666.741,2.229,9667.285,18.564
74,30,0.002,0.055,9666.741,2.229,9667.285,18.564
75,30,0.002,0.055,9666.741,2.229,9667.285,18.564
76,30,0.002,0.055,9666.741,2.229,9667.285,18.564
77,30,0.002,0.055,9666.741,2.229,9667.285,18.564
78,30,0.002,0.055,9666.741,2.229,9667.285,18.564
79,30,0.002,0.055,9666.741,2.229,9667.285,18.564
80,30,0.005,0.091,9333.484,2.229,9334.464,15.352
81,30,0.005,0.091,9333.484,2.229,9334.464,15.352
82,30,0.005,0.091,9333.484,2.229,9334.464,15.352
83,30,0.005,0.091,9333.484,2.229,9334.464,15.352
84,30,0.005,0.091,9333.484,2.229,9334.464,15.352
85,30,0.005,0.091,9333.484,2.229,9334.464,15.352
86,30,0.005,0.091,9333.484,2.229,9334.464,15.352
87,30,0.005,0.091,9333.484,2.229,9334.464,15.352
88,30,0.005,0.091,9333.484,2.229,9334.464,15.352
89,30,0.005,0.091,9333.484,2.229,9334.464,15.352
90,30,0.005,0.091,9333.484,2.229,9334.464,15.352
91,30,0.005,0.091,9333.484,2.229,9334.464,15.352
92,30,0.005,0.091,9333.484,2.229,9334.464,15.352
93,30,0.005,0.091,9333.484,2.229,9334.464,15.352
94,30,0.005,0.091,9333.484,2.229,9334.464,15.352
95,30,0.005,0.091,9333.484,2.229,9334.464,15.352
96,30,0.005,0.091,9333.484,2.229,9334.464,15.352
